ADM4_EN_KEY,ADM3_EN_KEY,ADM2_EN_KEY,ADM1_EN_KEY,ADM0_EN_KEY,ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,AREA_SQKM
8023,317,14,3,1,Ablang-Sapang,PH0306909001,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,21.86320436
8024,317,14,3,1,Aringin,PH0306909002,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,0.92685793
8025,317,14,3,1,Atencio,PH0306909003,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,1.135746389
8026,317,14,3,1,Banaoang East,PH0306909004,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,10.13292192
8027,317,14,3,1,Banaoang West,PH0306909005,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,8.096969846
8028,317,14,3,1,Baquero Norte,PH0306909006,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,4.124741537
8029,317,14,3,1,Baquero Sur,PH0306909007,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,1.624712685
8030,317,14,3,1,Burgos,PH0306909008,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,2.398461333
8031,317,14,3,1,Calamay,PH0306909009,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,3.409766037
8032,317,14,3,1,Calapan,PH0306909010,Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,11/9/2022,11/6/2023,3.594766531
